"gisid","latitude","longitude","High Activity Insitu Well Pads","Roads","Plant/Mine","Dense Linear Features","Low Activity Well Pads","Plant/Mine Buffer","Low Disturbance/Reference"
"2-0-A29_686_2021",54.857313,-111.504967,0,0,0,0,0,0,1
"2-0-A46_686_2021",54.916743,-111.384751,0,0,0,0,0,0,1
"2-0-A78_686_2021",54.867303,-111.482167,0,1,0,0,0,0,0
"3-0-A24_686_2021",55.526009,-110.965081,0,0,0,0,1,0,0
"3-0-A56_686_2021",55.362945,-111.088913,0,1,0,0,0,0,0
"3-0-A6_686_2021",55.356495,-111.051984,0,0,0,0.316,0.535,0.148,0
"3-0-A62_686_2021",55.521421,-110.984018,0,0,0.054,0,0,0.946,0
"3-0-A68_686_2021",55.561289,-110.921081,0,0,0.156,0,0,0.844,0
"8-1F1-CA1_686_2021",57.247662,-111.586929,0,0,0.445,0,0,0.554,0
"8-2F3-CA5_686_2021",57.360854,-111.841222,0,0,0,0,0,1,0
"8-3E1-CA10_686_2021",57.280725,-111.916397,0,0,0,0,1,0,0
"8-3F1-CA10_686_2021",57.37089,-111.993352,0,0.689,0,0,0.311,0,0
"13-1C1-CA1_1174_2022",57.123597,-111.093166,0,0,0,1,0,0,0
"13-1D1-CA6_1174_2022",57.204834,-111.034672,0,0.229,0,0,0.771,0,0
"13-2A1-CA2_1174_2022",57.053843,-111.231515,0,0,0,0,0,0,1
"13-2A1-CA3_1174_2022",57.061035,-111.223244,0,0,0,0,0,0,1
"13-2D1-CA2_1174_2022",57.234061,-111.108834,1,0,0,0,0,0,0
"13-2E1-CA5_1174_2022",57.284391,-111.283799,0,0,0,0,1,0,0
"9-1F2-CA1_2088_2023",55.995863,-113.472697,0,0,0.453,0,0,0.547,0
"19-1G1-CA1_3444_2024",55.34378,-110.70705,0,0,0,0,1,0,0
"19-1G1-CA2_3444_2024",55.34601,-110.70145,0,0,0,0,1,0,0
"19-1G1-CA3_3444_2024",55.34829,-110.70704,0,0,0,0,1,0,0
"19-1G2-CA1_3444_2024",55.3895,-110.6901,0,0,0,0.877,0.122,0,0
"19-1G2-CA2_3444_2024",55.39061,-110.69918,0,0,0,0,1,0,0
